,div_l,div_m,div_s,div_n
25062,과자,스낵,쌀스낵,쌀스낵
25063,과자,스낵,쌀스낵,쌀스낵
25064,과자,스낵,쌀스낵,쌀스낵
25066,커피차,분말차,꿀차,꿀차
25067,커피차,분말차,과실절임차,매실차
25070,음료,과채음료,과채혼합음료,과채혼합음료
25071,과자,스낵,쌀스낵,쌀스낵
25072,과자,스낵,밀가루스낵,밀가루스낵
25073,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25074,통조림/안주,통조림,보일드통조림,채소통조림
25078,주류,소주,증류식소주,증류식소주
25079,주류,기타주류,위스키,위스키
25080,주류,맥주,수입맥주,수입맥주
25082,상온HMR,가공분말류,기타프리믹스,기타프리믹스
25083,상온HMR,초콜렛,초콜릿세트,초콜릿세트
25084,상온HMR,가공분말류,기타프리믹스,기타프리믹스
25085,상온HMR,가공분말류,빵믹스,빵믹스
25086,커피차,분말차,아이스티,아이스티
25087,상온HMR,가공분말류,빵믹스,빵믹스
25091,상온HMR,가공분말류,빵믹스,빵믹스
25092,주류,맥주,무알콜맥주,무알콜맥주
25093,주류,맥주,수입맥주,수입맥주
25095,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
25102,과자,견과류,땅콩,땅콩
25106,주류,맥주,수입맥주,수입맥주
25107,주류,맥주,수입맥주,수입맥주
25114,상온HMR,레토르트,기타레토르트,기타레토르트
25115,상온HMR,레토르트,기타레토르트,기타레토르트
25116,상온HMR,레토르트,기타레토르트,기타레토르트
25117,상온HMR,레토르트,기타레토르트,기타레토르트
25118,통조림/안주,안주,냉장/냉동식품,간편요리
25119,과자,기타,기타,기타
25120,상온HMR,레토르트,즉석죽,즉석죽
25121,상온HMR,레토르트,즉석죽,즉석죽
25122,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25123,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25124,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25125,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25126,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25127,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25128,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25129,유제품,요구르트,마시는 요구르트,마시는 요구르트
25130,음료,차류,녹차/홍차,녹차/홍차
25131,음료,과채음료,과일음료,과일음료
25154,음료,과채음료,과일음료,과일음료
25155,유제품,치즈,크림치즈,크림치즈
25156,유제품,버터,가염버터,가염버터
25157,유제품,치즈,까망베르치즈,까망베르치즈
25158,유제품,치즈,체다치즈,체다치즈
25159,음료,과채음료,과채혼합음료,과채혼합음료
25160,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25161,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25162,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25163,커피차,분말차,아이스티,아이스티
25164,과자,비스킷,쿠키,쿠키
25169,유제품,요구르트,마시는 요구르트,마시는 요구르트
25172,과자,비스킷,스탁과자,스탁과자
25173,과자,비스킷,쌀스낵,쌀스낵
25174,과자,비스킷,옥수수스낵,옥수수스낵
25175,상온HMR,씨리얼,일반시리얼,일반시리얼
25176,과자,비스킷,스틱과자,스틱과자
25177,유제품,치즈,모짜렐라치즈,모짜렐라치즈
25178,과자,비스킷,쿠키,쿠키
25179,과자,비스킷,스틱과자,스틱과자
25180,과자,스낵,감자스낵,감자스낵
25181,과자,스낵,감자스낵,감자스낵
25183,음료,과채음료,채소음료,채소음료
25185,음료,과채음료,과채혼합음료,과채혼합음료
25186,음료,과채음료,과일음료,과일음료
25188,음료,과채음료,과일음료,과일음료
25189,음료,과채음료,과일음료,과일음료
25190,음료,과채음료,과일음료,과일음료
25191,음료,과채음료,채소음료,채소음료
25193,과자,스낵,샌드,샌드
25194,상온HMR,레토르트,기타레토르트,기타레토르트
25196,유제품,치즈,체다치즈,체다치즈
25197,과자,스낵,옥수수스낵,옥수수스낵
25201,통조림/안주,통조림,보일드통조림,골뱅이통조림
25202,통조림/안주,통조림,보일드통조림,기타수산통조림
25203,통조림/안주,통조림,가미통조림,참치통조림
25204,통조림/안주,통조림,가미통조림,참치통조림
25205,통조림/안주,통조림,가미통조림,참치통조림
25206,통조림/안주,통조림,가미통조림,참치통조림
25207,통조림/안주,통조림,가미통조림,참치통조림
25208,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25210,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
25222,디저트,파이류,케이크,케이크
25223,디저트,파이류,케이크,케이크
25224,과자,비스킷,샌드,샌드
25225,과자,비스킷,쿠키,쿠키
25226,상온HMR,레토르트,기타레토르트,기타레토르트
25227,과자,파이류,케이크,케이크
25228,디저트,파이류,케이크,케이크
25229,과자,비스킷,쿠키,쿠키
25230,과자,스낵,밀가루스낵,밀가루스낵
25231,과자,스낵,밀가루스낵,밀가루스낵
25232,과자,스낵,밀가루스낵,밀가루스낵
25233,상온HMR,빵,일반빵,일반빵
25234,과자,비스킷,쿠키,쿠키
25235,과자,스낵,팝콘,팝콘
25236,과자,스낵,쿠키,쿠키
25237,과자,스낵,쿠키,쿠키
25238,유제품,우유,가공우유,기타우유
25239,유제품,우유,가공우유,기타우유
25241,상온HMR,분말조리식,분말국/찌개,분말국/찌개
25244,유제품,치즈,체다치즈,체다치즈
25247,면류,봉지면,비빔봉지라면,짜장라면
25248,커피차,분말차,아이스티,아이스티
25287,통조림/안주,통조림,가미통조림,스팸/햄통조림
25288,통조림/안주,통조림,가미통조림,참치통조림
25289,통조림/안주,통조림,보일드통조림,기타축산통조림
25290,과자,스낵,쿠키,쿠키
25291,면류,봉지면,국물봉지라면,일반라면
25292,면류,봉지면,비빔봉지라면,비빔면
25302,커피차,분말차,커피,아메리카노
25308,커피차,분말차,보리차,보리차
25312,음료,과채음료,과일음료,과일음료
25313,음료,기능성음료,기타기능성음료,기타기능성음료
25314,음료,기능성음료,기타기능성음료,기타기능성음료
25324,음료,기능성음료,기타기능성음료,기타기능성음료
25325,음료,탄산음료,혼합탄산,혼합탄산
25326,음료,탄산음료,혼합탄산,혼합탄산
25327,음료,커피음료,커피음료,커피음료
25328,음료,커피음료,커피음료,커피음료
25329,음료,탄산음료,혼합탄산,혼합탄산
25330,음료,탄산음료,콜라,콜라
25331,음료,커피음료,커피음료,커피음료
25332,음료,커피음료,커피음료,커피음료
25333,음료,커피음료,커피음료,커피음료
25334,음료,커피음료,커피음료,커피음료
25335,음료,커피음료,커피음료,커피음료
25336,음료,커피음료,커피음료,커피음료
25337,음료,커피음료,커피음료,커피음료
25339,음료,탄산음료,콜라,콜라
25340,음료,탄산음료,콜라,콜라
25341,음료,탄산음료,사이다,사이다
25372,커피차,분말차,기타,기타
25373,커피차,분말차,녹차/현미녹차,녹차/현미녹차
25374,커피차,분말차,커피,아메리카노
25375,커피차,분말차,과실절임차,모과차
25376,커피차,분말차,생강차,생강차
25377,커피차,분말차,커피,모카
25378,커피차,액상차,기타,기타
25379,과자,캔디,토이캔디,하드캔디
25380,과자,캔디,토이캔디,하드캔디
25381,과자,캔디,토이캔디,하드캔디
25382,과자,캔디,토이캔디,하드캔디
25383,과자,캔디,토이캔디,토이캔디
25384,과자,캔디,토이캔디,토이캔디
25385,과자,캔디,토이캔디,토이캔디
25386,과자,캔디,토이캔디,토이캔디
25387,과자,캔디,소프트캔디,소프트캔디
25388,과자,캔디,토이캔디,토이캔디
25389,과자,초콜렛,바초콜릿,바초콜릿
25390,과자,캔디,소프트캔디,소프트캔디
25391,과자,캔디,소프트캔디,소프트캔디
25392,과자,캔디,소프트캔디,소프트캔디
25393,과자,캔디,소프트캔디,소프트캔디
25394,과자,캔디,사탕/캔디세트,하드캔디
25395,과자,캔디,젤리,토이캔디
25396,과자,캔디,토이캔디,토이캔디
25397,과자,캔디,젤리,토이캔디?
25398,과자,캔디,소프르캔디,소프르캔디
25399,과자,캔디,소프트캔디,소프트캔디
25400,과자,캔디,소프트캔디,소프트캔디
25401,과자,초콜렛,쉘초콜릿,쉘초콜릿
25402,상온HMR,전통과자,기타전통과자,기타전통과자
25403,상온HMR,레토르트,즉석밥,즉석밥
25404,상온HMR,초콜렛,쉘초콜릿,쉘초콜릿
25407,과자,비스킷,스틱과자,스틱과자
25408,통조림/안주,통조림,과일통조림,복숭아통조림
25409,통조림/안주,통조림,과일통조림,복숭아통조림
25412,통조림/안주,통조림,보일드통조림,채소통조림
25413,통조림/안주,통조림,보일드통조림,채소통조림
25416,커피차,액상차,과실절임차,유자차
25417,상온HMR,레토르트,즉석밥,즉석밥
25418,상온HMR,레토르트,즉석밥,즉석밥
25419,상온HMR,레토르트,즉석밥,즉석밥
25420,상온HMR,레토르트,즉석밥,즉석밥
25421,상온HMR,레토르트,즉석밥,즉석밥
25422,상온HMR,레토르트,즉석밥,즉석밥
25423,상온HMR,레토르트,즉석밥,즉석밥
25424,상온HMR,레토르트,즉석밥,즉석밥
25425,상온HMR,레토르트,즉석밥,즉석밥
25426,상온HMR,레토르트,즉석밥,즉석밥
25427,상온HMR,레토르트,즉석밥,즉석밥
25428,상온HMR,레토르트,즉석밥,즉석밥
25429,상온HMR,레토르트,즉석밥,즉석밥
25430,상온HMR,레토르트,즉석밥,즉석밥
25431,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25432,음료,탄산음료,사이다,사이다
25433,커피차,분말차,기타,마차
25434,과자,캔디,하드캔디,하드캔디
25435,과자,초콜렛,쉘초콜릿,쉘초콜릿
25436,커피차,분말차,기타,콩차
25437,커피차,분말차,기타,도라지차
25438,상온HMR,병통조림,채소병통조림,채소병통조림
25441,음료,과채음료,원액,원액
25442,음료,차음료,일반차음료,일반차음료
25443,음료,차음료,일반차음료,일반차음료
25444,음료,차음료,일반차음료,일반차음료
25445,음료,차음료,일반차음료,일반차음료
25446,음료,차음료,일반차음료,일반차음료
25447,음료,차음료,일반차음료,일반차음료
25448,음료,차음료,일반차음료,일반차음료
25449,음료,차음료,일반차음료,일반차음료
25450,음료,차음료,일반차음료,일반차음료
25451,음료,차음료,일반차음료,일반차음료
25452,상온HMR,전통과자,기타전통과자,기타전통과자
25453,상온HMR,전통과자,기타전통과자,기타전통과자
25454,상온HMR,스낵,과일스낵,과일스낵
25455,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25456,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25459,상온HMR,전통과자,기타전통과자,기타전통과자
25460,과자,스낵,쌀스낵,쌀스낵
25461,상온HMR,가공안주류,견과류,견과류
25462,상온HMR,가공안주류,견과류,견과류
25469,음료,차음료,일반차음료,일반차음료
25470,음료,기능성음료,기타기능성음료,기타기능성음료
25483,음료,기능성음료,기타기능성음료,기타기능성음료
25488,과자,비스킷,스틱과자,스틱과자
25489,과자,비스킷,스틱과자,스틱과자
25517,음료,냉장음료,코코넛워터,코코넛워터
25518,음료,탄산수,Flavor탄산수,Flavor탄산수
25519,음료,탄산수,Flavor탄산수,Flavor탄산수
25520,음료,탄산음료,콜라,콜라
25521,음료,과채음료,과채혼합음료,과채혼합음료
25587,과자,스낵,밀가루스낵,밀가루스낵
25588,과자,비스킷,쿠키,쿠키
25589,과자,스낵,비스킷/스틱과자,비스킷/스틱과자
25590,상온HMR,레토르트,즉석죽,즉석죽
25591,과자,스낵,감자스낵,감자스낵
25592,과자,비스킷,쿠키,쿠키
25593,과자,비스킷,쿠키,쿠키
25594,과자,비스킷,크래커,쿠키
25595,과자,비스킷,크래커,쿠키
25597,과자,비스킷,쿠키,쿠키
25598,과자,비스킷,쿠키,쿠키
25599,과자,비스킷,쿠키,쿠키
25600,과자,비스킷,쿠키,쿠키
25601,과자,스낵,감자스낵,감자스낵
25602,과자,비스킷,크래커,크래커
25603,과자,비스킷,크래커,크래커
25604,과자,비스킷,샌드,샌드
25605,과자,초콜렛,초콜릿세트,초콜릿세트
25606,과자,스낵,밀가루스낵,밀가루스낵
25607,디저트,디저트/베이커리,냉동디저트,냉동디저트
25608,상온HMR,분말조리식,분말국/찌개,분말국/찌개
25609,과자,파이류,케이크,케이크
25617,과자,스낵,감자스낵,감자스낵
25618,과자,스낵,감자스낵,감자스낵
25619,과자,스낵,쌀스낵,쌀스낵
25620,과자,스낵,쌀스낵,쌀스낵
25621,과자,스낵,쌀스낵,쌀스낵
25622,과자,스낵,쌀스낵,쌀스낵
25623,과자,스낵,쌀스낵,쌀스낵
25625,과자,스낵,쌀스낵,쌀스낵
25626,과자,스낵,쌀스낵,쌀스낵
25627,과자,스낵,과일스낵,과일스낵
25628,과자,스낵,쌀스낵,쌀스낵
25629,과자,스낵,쌀스낵,쌀스낵
25630,과자,스낵,쌀스낵,쌀스낵
25631,과자,스낵,쌀스낵,쌀스낵
25632,과자,스낵,쌀스낵,쌀스낵
25633,과자,스낵,쌀스낵,쌀스낵
25634,상온HMR,가공안주류,견과류,견과류
25635,과자,견과류,아몬드,아몬드
25637,과자,건채소,고구마,고구마
25638,과자,견과류,밤,밤
25639,상온HMR,잡곡,콩,콩
25640,상온HMR,레토르트,기타레토르트,기타레토르트
25641,상온HMR,레토르트,기타레토르트,기타레토르트
25642,상온HMR,레토르트,기타레토르트,기타레토르트
25643,상온HMR,레토르트,기타레토르트,기타레토르트
25644,과자,스낵,옥수수스낵,옥수수스낵
25647,과자,비스킷,쿠키,쿠키
25648,과자,비스킷,쿠키,쿠키
25649,과자,비스킷,쿠키,쿠키
25650,과자,비스킷,스틱과자,스틱과자
25651,과자,비스킷,스틱과자,스틱과자
25652,과자,스낵,쌀스낵,쌀스낵
25653,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
25654,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
25655,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
25656,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
25657,상온HMR,레토르트,기타레토르트,기타레토르트
25658,상온HMR,레토르트,기타레토르트,기타레토르트
25659,과자,파이류,케이크,케이크
25660,과자,파이류,케이크,케이크
25661,과자,파이류,케이크,케이크
25662,과자,비스킷,크래커,크래커
25663,과자,비스킷,쿠키,쿠키
25664,과자,비스킷,쿠키,쿠키
25665,과자,비스킷,샌드,샌드
25666,과자,파이류,케이크,케이크
25667,과자,비스킷,쿠키,쿠키
25668,과자,스낵,감자스낵,감자스낵
25669,과자,파이류,케이크,케이크
25670,과자,파이류,케이크,케이크
25671,과자,비스킷,스틱과자,스틱과자
25673,과자,비스킷,샌드,크래커
25674,과자,비스킷,샌드,크래커
25675,과자,비스킷,쿠키,쿠키
25677,과자,씨리얼,일반시리얼,일반시리얼
25679,과자,파이류,케이크,파이
25686,상온HMR,잡곡,기타잡곡류,기타잡곡류
25687,상온HMR,기타,기타,기타
25688,상온HMR,기타,기타,기타
25689,상온HMR,기타,기타,기타
25690,상온HMR,기타,기타,기타
25691,상온HMR,레토르트,즉석죽,즉석죽
25692,상온HMR,레토르트,즉석죽,즉석죽
25693,상온HMR,레토르트,즉석죽,즉석죽
25694,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25695,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25696,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25697,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25698,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25699,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25700,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25701,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
25702,상온HMR,레토르트,기타레토르트,기타레토르트
25703,상온HMR,분말조미료,가공조미료,가공조미료
25704,상온HMR,스낵,과일스낵,과일스낵
25705,상온HMR,레토르트,기타레토르트,기타레토르트
25706,상온HMR,소스류,국물용소스,국물용소스
25707,상온HMR,소스류,국물용소스,국물용소스
25710,상온HMR,액상조미료,식초,식초
25711,상온HMR,소스류,국물용소스,국물용소스
25712,상온HMR,소스류,국물용소스,국물용소스
25713,상온HMR,스낵,쌀스낵,쌀스낵
25714,과자,비스킷,크래커,크래커
25715,과자,스낵,야채스낵,야채스낵
25720,면류,용기면,국물용기라면,일반라면
25721,면류,용기면,국물용기라면,일반라면
25722,면류,용기면,비빔용기라면,일반라면
25723,면류,용기면,국물용기라면,쌀국수
25724,과자,비스킷,쿠키,쿠키
25725,과자,캔디,젤리,젤리
25726,과자,캔디,하드캔디,하드캔디
25727,과자,캔디,하드캔디,하드캔디
25728,과자,기타,기타,기타
25738,과자,견과류,아몬드,아몬드
25766,면류,봉지면,국물봉지라면,일반라면
25767,면류,봉지면,국물봉지라면,짬뽕라면
25768,면류,봉지면,비빔봉지라면,짜장라면
25775,과자,캔디,토이캔디,토이캔디
25776,생활용품,기타,기타,기타
25777,과자,캔디,토이캔디,토이캔디
25778,과자,캔디,토이캔디,토이캔디
25786,주류,맥주,수입맥주,수입맥주
25787,주류,맥주,수입맥주,수입맥주
25788,음료,과채음료,과일음료,과일음료
25789,음료,과채음료,과일음료,과일음료
25790,음료,냉장음료,코코넛워터,코코넛워터
25791,음료,과채음료,과채혼합음료,과채혼합음료
25792,음료,과채음료,과채혼합음료,과채혼합음료
25793,음료,과채음료,과일음료,과일음료
25794,음료,과채음료,과일음료,과일음료
25795,음료,과채음료,어린이음료,어린이음료
25796,과자,캔디,사탕/캔디세트,하드캔디
25797,과자,스낵,옥수수스낵,옥수수스낵
25798,상온HMR,가공안주류,견과류,견과류
25799,커피차,분말차,허브차,캐모마일
25800,커피차,분말차,허브차,얼그레이
25801,커피차,분말차,허브차,레몬밤
25802,커피차,분말차,기타,기타
25803,커피차,분말차,허브차,페퍼민트
25805,과자,비스킷,쿠키,쿠키
25806,상온HMR,건면,파스타류,파스타류
25807,상온HMR,건면,파스타류,파스타류
25808,음료,과채음료,어린이음료,어린이음료
25809,음료,기능성음료,한방음료,한방음료
25810,과자,비스킷,샌드,크래커
25811,과자,비스킷,샌드,크래커
25812,과자,비스킷,크래커,크래커
25813,과자,초콜렛,바초콜릿,스낵/밀가루스낵
25814,과자,초콜렛,쉘초콜릿,쉘초콜릿
25816,커피차,분말차,잎차,결명자차
25817,과자,씨리얼,일반시리얼,일반시리얼
25818,과자,씨리얼,일반시리얼,일반시리얼
25819,면류,봉지면,국물봉지라면,일반라면
25820,면류,봉지면,국물봉지라면,일반라면
25821,과자,비스킷,쿠키,쿠키
25822,과자,비스킷,쿠키,쿠키
25823,과자,스낵,밀가루스낵,밀가루스낵
25824,과자,씨리얼,일반시리얼,일반시리얼
25825,과자,비스킷,쿠키,쿠키
25826,과자,비스킷,크래커,크래커
25827,과자,비스킷,크래커,크래커
25828,과자,비스킷,샌드,크래커
25829,과자,비스킷,샌드,크래커
25830,과자,비스킷,샌드,크래커
25831,과자,비스킷,샌드,크래커
25832,과자,비스킷,크래커,크래커
25833,과자,비스킷,크래커,크래커
25834,과자,비스킷,크래커,크래커
25835,과자,스낵,감자스낵,감자스낵
25836,과자,초콜렛,쉘초콜릿,쉘초콜릿
25837,과자,비스킷,크래커,크래커
25838,상온HMR,가공안주류,견과류,견과류
25839,과자,비스킷,쿠키,쿠키
25840,과자,견과류,혼합견과,혼합견과
25841,과자,스낵,과일스낵,과일스낵
25842,과자,스낵,과일스낵,과일스낵
25843,과자,스낵,쌀스낵,쌀스낵
25844,과자,스낵,쌀스낵,쌀스낵
25845,과자,스낵,쌀스낵,쌀스낵
25846,과자,스낵,감자스낵,감자스낵
25847,과자,스낵,쌀스낵,쌀스낵
25848,과자,스낵,쌀스낵,쌀스낵
25849,과자,스낵,쌀스낵,쌀스낵
25850,과자,스낵,쌀스낵,쌀스낵
25851,과자,스낵,쌀스낵,쌀스낵
25852,과자,스낵,쌀스낵,쌀스낵
25853,면류,용기면,국물용기라면,일반라면
25854,과자,캔디,젤리,토이젤리
25855,과자,캔디,사탕/캔디세트,하드캔디
25856,과자,초콜렛,바초콜릿,바초콜릿
25857,과자,초콜렛,바초콜릿,바초콜릿
25858,과자,견과류,밤,밤
25874,음료,기능성음료,한방음료,한방음료
25875,음료,기능성음료,기타기능성음료,기타기능성음료
25876,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
25877,음료,과채음료,과일음료,과일음료
25878,음료,차음료,일반차음료,일반차음료
25879,음료,냉장음료,코코넛워터,코코넛워터
25880,음료,기능성음료,기타기능성음료,기타기능성음료
25898,커피차,분말차,기타,기타
25899,상온HMR,가공안주류,견과류,견과류
25900,과자,마른안주,어포류,어포류
25901,과자,마른안주,어포류,어포류
25902,과자,마른안주,어포류,어포류
25903,과자,스낵,고구마스낵,고구마스낵
25904,과자,스낵,쌀과자,쌀과자
25905,과자,기타,기타,기타
25907,과자,스낵,고구마스낵,고구마스낵
25908,과자,스낵,밀가루스낵,밀가루스낵
25909,음료,기능성음료,기타기능성음료,기타기능성음료
25910,과자,스낵,밀가루스낵,밀가루스낵
25911,과자,스낵,밀가루스낵,밀가루스낵
25912,과자,스낵,밀가루스낵,밀가루스낵
25913,과자,스낵,고구마스낵,고구마스낵
25914,과자,스낵,과일스낵,과일스낵
25915,과자,스낵,과일스낵,과일스낵
25916,과자,스낵,과일스낵,과일스낵
25917,과자,스낵,과일스낵,과일스낵
25918,과자,스낵,과일스낵,과일스낵
25920,커피차,분말차,커피,아메리카노
25921,커피차,분말차,커피,아메리카노
25928,과자,견과류,혼합견과,혼합견과
25933,주류,전통주,과실주,과실주
25938,주류,전통주,사케,사케
25939,음료,과채음료,과일음료,과일음료
25940,음료,기능성음료,기타기능성음료,기타기능성음료
25941,상온HMR,소스류,국물용소스,국물용소스
25942,과자,마른안주,어포류,어포류
25943,과자,레저취미,반려묘간식,반려묘간식
25944,상온HMR,레저취미,반려묘사료,반려묘사료
25945,상온HMR,레저취미,반려묘간식,반려묘간식
25946,상온HMR,레저취미,반려묘사료,반려묘사료
25947,상온HMR,레저취미,반려묘사료,반려묘사료
25948,상온HMR,레저취미,반려묘간식,반려묘간식
25949,상온HMR,레저취미,반려묘간식,반려묘간식
25950,과자,마른안주,어포류,어포류
25951,과자,마른안주,어포류,어포류
25952,상온HMR,레저취미,반려묘간식,반려묘간식
25953,상온HMR,양곡,고시히카리,고시히카리
25956,과자,견과류,혼합견과,혼합견과
25957,과자,스낵,과일스낵,과일스낵
25958,과자,마른안주,어포류,어포류
25959,과자,기타,기타,기타
25963,음료,기능성음료,기타기능성음료,기타기능성음료
25964,음료,과채음료,어린이음료,어린이음료
25965,음료,과채음료,어린이음료,어린이음료
25966,음료,과채음료,어린이음료,어린이음료
25967,음료,과채음료,어린이음료,어린이음료
25968,음료,탄산수,플레인탄산수,플레인탄산수
25989,상온HMR,가공분말류,부침가루,부침가루
25990,상온HMR,가공분말류,튀김가루,튀김가루
25991,상온HMR,가공분말류,곡물가루,곡물가루
25992,상온HMR,가공분말류,곡물가루,곡물가루
25993,상온HMR,가공분말류,곡물가루,곡물가루
25996,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
26004,음료,탄산수,플레인탄산수,플레인탄산수
26005,음료,기능성음료,기타기능성음료,기타기능성음료
26006,상온HMR,레저취미,반려묘사료,반려묘사료
26007,상온HMR,레저취미,반려묘간식,반려묘간식
26009,상온HMR,분말조리식,기타분말조리식,기타분말조리식
26010,상온HMR,분말조리식,기타분말조리식,기타분말조리식
26011,상온HMR,분말조리식,기타분말조리식,기타분말조리식
26013,상온HMR,분말조미료,기타향신료,기타향신료
26014,상온HMR,분말조미료,기타향신료,기타향신료
26015,상온HMR,분말조미료,기타향신료,기타향신료
26016,커피차,분말차,잎차,히비스커스
26018,상온HMR,잡곡,귀리,귀리
26019,상온HMR,잡곡,기타잡곡류,기타잡곡류
26020,통조림/안주,안주,견과류,아몬드
26022,주류,전통주,고량주,고량주
26023,음료,기능성음료,기타기능성음료,기타기능성음료
26024,주류,맥주,수입맥주,수입맥주
26025,상온HMR,분말조미료,기타향신료,기타향신료
26026,상온HMR,분말조미료,기타향신료,기타향신료
26039,상온HMR,레토르트,기타레토르트,기타레토르트
26040,커피차,분말차,보리차,보리차
26041,커피차,분말차,커피,아메리카노
26042,음료,과채음료,과일음료,과일음료
26043,상온HMR,레토르트,즉석죽,즉석죽
26044,상온HMR,레토르트,즉석죽,즉석죽
26046,상온HMR,레토르트,즉석죽,즉석죽
26047,상온HMR,레토르트,즉석죽,즉석죽
26048,상온HMR,레토르트,즉석죽,즉석죽
26049,상온HMR,레토르트,즉석죽,즉석죽
26065,커피차,분말차,홍차,홍차
26079,주류,맥주,수입맥주,수입맥주
26080,주류,소주,증류식소주,증류식소주
26099,상온HMR,레저취미,반려묘사료,반려묘사료
26100,상온HMR,레저취미,반려묘사료,반려묘사료
26101,상온HMR,레저취미,반려묘사료,반려묘사료
26102,상온HMR,가공분말류,곡물가루,곡물가루
26103,커피차,분말차,허브차,캐모마일
30006,음료,과채음료,과일음료,과일음료
30007,음료,과채음료,과일음료,과일음료
30008,음료,과채음료,과일음료,과일음료
30009,음료,과채음료,과일음료,과일음료
30010,음료,과채음료,과일음료,과일음료
30011,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
30012,음료,생수,일반생수,일반생수
30013,음료,과채음료,과일음료,과일음료
30014,음료,커피음료,커피음료,커피음료
30015,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
30016,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
30017,음료,과채음료,과일음료,과일음료
30018,음료,탄산음료,혼합탄산,혼합탄산
30019,음료,커피음료,커피음료,커피음료
30020,음료,커피음료,커피음료,커피음료
30021,음료,커피음료,커피음료,커피음료
30022,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
30023,음료,과채음료,과일음료,과일음료
30024,음료,과채음료,과일음료,과일음료
30025,음료,커피음료,커피음료,커피음료
30026,음료,기능성음료,식이섬유음료,식이섬유음료
30027,음료,탄산음료,혼합탄산,혼합탄산
30029,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
30030,음료,탄산음료,혼합탄산,혼합탄산
30031,음료,탄산음료,혼합탄산,혼합탄산
30032,음료,과채음료,과일음료,과일음료
30033,음료,과채음료,과일음료,과일음료
30034,음료,탄산음료,콜라,콜라
30035,음료,탄산수,플레인탄산수,플레인탄산수
30036,음료,탄산수,플레인탄산수,플레인탄산수
30037,음료,차음료,일반차음료,일반차음료
30038,음료,탄산음료,혼합탄산,혼합탄산
30039,음료,탄산음료,혼합탄산,혼합탄산
30040,음료,과채음료,과일음료,과일음료
30041,음료,과채음료,과일음료,과일음료
30042,음료,차음료,일반차음료,일반차음료
30043,음료,기능성음료,한방음료,한방음료
30044,음료,과채음료,과일음료,과일음료
30045,음료,탄산음료,혼합탄산,혼합탄산
30046,음료,냉장음료,냉장곡물견과음료,냉장곡물견과음료
30047,음료,탄산음료,사이다,사이다
30048,음료,탄산음료,혼합탄산,혼합탄산
30049,음료,탄산음료,혼합탄산,혼합탄산
30050,음료,탄산음료,혼합탄산,혼합탄산
30051,음료,탄산음료,콜라,콜라
30052,음료,탄산음료,혼합탄산,혼합탄산
30053,음료,과채음료,과일음료,과일음료
30054,주류,맥주,국내맥주,국내맥주
30055,음료,탄산음료,사이다,사이다
30056,음료,기능성음료,스포츠음료,스포츠음료
30057,과자,스낵,밀가루스낵,밀가루스낵
30058,과자,비스킷,크레커,크레커
30059,과자,스낵,밀가루스낵,밀가루스낵
30060,과자,스낵,밀가루스낵,밀가루스낵
30061,과자,스낵,감자스낵,감자스낵
30062,과자,스낵,옥수수스낵,옥수수스낵
30063,과자,스낵,밀가루스낵,밀가루스낵
30064,과자,스낵,밀가루스낵,밀가루스낵
30065,과자,스낵,밀가루스낵,밀가루스낵
